Data,Açao,Símbolo,Preço,Volume,Quantidade Total
2019-01-02,BRF SA,BRFS3,22.35,103267622.0,4620400
2019-01-03,BRF SA,BRFS3,21.63,180187069.0,8328900
2019-01-04,BRF SA,BRFS3,21.36,170812102.0,7995800
2019-01-07,BRF SA,BRFS3,21.57,70142137.0,3250500
2019-01-08,BRF SA,BRFS3,22.49,193754121.0,8613600
2019-01-09,BRF SA,BRFS3,23.36,180317310.0,7717600
2019-01-10,BRF SA,BRFS3,23.31,151093665.0,6481000
2019-01-11,BRF SA,BRFS3,23.06,221616677.0,9609000
2019-01-14,BRF SA,BRFS3,22.85,133838181.0,5856100
2019-01-15,BRF SA,BRFS3,22.56,112959414.0,5006000
2019-01-16,BRF SA,BRFS3,22.33,109683337.0,4910500
2019-01-17,BRF SA,BRFS3,23.3,235933674.0,10125600
2019-01-18,BRF SA,BRFS3,23.96,248522727.0,10372300
2019-01-21,BRF SA,BRFS3,24.13,145765289.0,6038500
2019-01-22,BRF SA,BRFS3,23.75,333122370.0,14021100
2019-01-23,BRF SA,BRFS3,23.72,175736442.0,7407500
2019-01-24,BRF SA,BRFS3,23.99,118874802.0,4953300
2019-01-28,BRF SA,BRFS3,24.26,111540201.0,4597500
2019-01-29,BRF SA,BRFS3,24.35,139922171.0,5745800
2019-01-30,BRF SA,BRFS3,23.77,187480544.0,7884100
2019-01-31,BRF SA,BRFS3,23.91,130500393.0,5457100
2019-02-01,BRF SA,BRFS3,23.81,99781327.0,4189300
2019-02-04,BRF SA,BRFS3,23.88,130170837.0,5449000
2019-02-05,BRF SA,BRFS3,24.88,399955082.0,16074200
2019-02-06,BRF SA,BRFS3,24.5,192413445.0,7853100
2019-02-07,BRF SA,BRFS3,23.07,436335966.0,18909400
2019-02-08,BRF SA,BRFS3,23.27,136821573.0,5878200
2019-02-11,BRF SA,BRFS3,23.16,131054731.0,5656900
2019-02-12,BRF SA,BRFS3,23.33,85901675.0,3680600
2019-02-13,BRF SA,BRFS3,22.64,315384128.0,13928700
2019-02-14,BRF SA,BRFS3,22.56,139751763.0,6193500
2019-02-15,BRF SA,BRFS3,22.97,148527619.0,6464500
2019-02-18,BRF SA,BRFS3,22.34,116382118.0,5208000
2019-02-19,BRF SA,BRFS3,22.28,153085600.0,6869400
2019-02-20,BRF SA,BRFS3,22.55,171128942.0,7588100
2019-02-21,BRF SA,BRFS3,22.24,94376346.0,4243100
2019-02-22,BRF SA,BRFS3,22.16,81553218.0,3679300
2019-02-25,BRF SA,BRFS3,22.23,93462363.0,4203100
2019-02-26,BRF SA,BRFS3,21.96,92121351.0,4194300
2019-02-27,BRF SA,BRFS3,21.7,84879726.0,3910100
2019-02-28,BRF SA,BRFS3,20.99,411100727.0,19584700
2019-03-01,BRF SA,BRFS3,20.58,113936316.0,5533700
2019-03-06,BRF SA,BRFS3,19.92,120144579.0,6031000
2019-03-07,BRF SA,BRFS3,19.67,129978550.0,6606800
2019-03-08,BRF SA,BRFS3,19.78,182634767.0,9230800
2019-03-11,BRF SA,BRFS3,20.2,137356129.0,6797600
2019-03-12,BRF SA,BRFS3,20.14,159041666.0,7893500
2019-03-13,BRF SA,BRFS3,20.31,141548317.0,6969300
2019-03-14,BRF SA,BRFS3,20.61,214085663.0,10383000
2019-03-15,BRF SA,BRFS3,21.8,421260652.0,19321400
2019-03-18,BRF SA,BRFS3,22.8,278924588.0,12231100
2019-03-19,BRF SA,BRFS3,23.18,170906961.0,7370900
2019-03-20,BRF SA,BRFS3,22.93,142295155.0,6204900
2019-03-21,BRF SA,BRFS3,22.59,130963824.0,5795800
2019-03-22,BRF SA,BRFS3,22.33,170667069.0,7641500
2019-03-25,BRF SA,BRFS3,21.85,120287345.0,5502900
2019-03-26,BRF SA,BRFS3,22.22,171714073.0,7726500
2019-03-27,BRF SA,BRFS3,21.95,144231513.0,6568200
2019-03-28,BRF SA,BRFS3,22.53,146862445.0,6516600
2019-03-29,BRF SA,BRFS3,22.72,246602191.0,10852000
2019-04-01,BRF SA,BRFS3,23.07,113074817.0,4901300
2019-04-02,BRF SA,BRFS3,23.0,84687632.0,3681800
2019-04-03,BRF SA,BRFS3,23.07,92910136.0,4025800
2019-04-04,BRF SA,BRFS3,23.42,119896804.0,5117500
2019-04-05,BRF SA,BRFS3,23.89,128698680.0,5386300
2019-04-08,BRF SA,BRFS3,23.97,118583619.0,4945400
2019-04-09,BRF SA,BRFS3,24.25,178862500.0,7375700
2019-04-10,BRF SA,BRFS3,24.83,313375463.0,12616900
2019-04-11,BRF SA,BRFS3,25.02,180509985.0,7213600
2019-04-12,BRF SA,BRFS3,25.35,248894551.0,9816000
2019-04-15,BRF SA,BRFS3,25.99,262472245.0,10095800
2019-04-16,BRF SA,BRFS3,27.56,546974430.0,19840100
2019-04-17,BRF SA,BRFS3,28.1,511394167.0,18194300
2019-04-18,BRF SA,BRFS3,27.88,453140861.0,16250800
2019-04-22,BRF SA,BRFS3,27.94,144562968.0,5174000
2019-04-23,BRF SA,BRFS3,29.63,473041279.0,15961400
2019-04-24,BRF SA,BRFS3,29.98,417057645.0,13909300
2019-04-25,BRF SA,BRFS3,30.3,388716539.0,12828400
2019-04-26,BRF SA,BRFS3,30.18,255599493.0,8466900
2019-04-29,BRF SA,BRFS3,30.72,239148289.0,7783400
2019-04-30,BRF SA,BRFS3,30.72,239436068.0,7793700
2019-05-02,BRF SA,BRFS3,30.58,184910910.0,6046000
2019-05-03,BRF SA,BRFS3,30.61,221977971.0,7251800
2019-05-06,BRF SA,BRFS3,30.94,237807448.0,7684700
2019-05-07,BRF SA,BRFS3,30.71,179562239.0,5846000
2019-05-08,BRF SA,BRFS3,30.69,296862589.0,9672800
2019-05-09,BRF SA,BRFS3,30.45,259515251.0,8520700
2019-05-10,BRF SA,BRFS3,29.92,296565504.0,9909500
2019-05-13,BRF SA,BRFS3,29.86,185680355.0,6217500
2019-05-14,BRF SA,BRFS3,30.92,279132411.0,9027200
2019-05-15,BRF SA,BRFS3,31.06,277690735.0,8938200
2019-05-16,BRF SA,BRFS3,32.08,364908853.0,11372700
2019-05-17,BRF SA,BRFS3,32.15,245034352.0,7620400
2019-05-20,BRF SA,BRFS3,32.09,249970275.0,7789500
2019-05-21,BRF SA,BRFS3,30.94,436003422.0,14087500
2019-05-22,BRF SA,BRFS3,30.28,290292424.0,9586000
2019-05-23,BRF SA,BRFS3,31.37,316638654.0,10093000
2019-05-24,BRF SA,BRFS3,31.85,166604149.0,5230400
2019-05-27,BRF SA,BRFS3,31.78,116526161.0,3666100
2019-05-28,BRF SA,BRFS3,30.75,360984081.0,11735900
2019-05-29,BRF SA,BRFS3,29.01,358853807.0,12367100
2019-05-30,BRF SA,BRFS3,28.96,254268403.0,8779400
2019-05-31,BRF SA,BRFS3,28.26,634907900.0,22460900
2019-06-03,BRF SA,BRFS3,27.4,250104527.0,9126300
2019-06-04,BRF SA,BRFS3,27.9,191973899.0,6879800
2019-06-05,BRF SA,BRFS3,27.35,147905517.0,5407300
2019-06-06,BRF SA,BRFS3,27.16,128181392.0,4719200
2019-06-07,BRF SA,BRFS3,26.57,261799078.0,9852300
2019-06-10,BRF SA,BRFS3,26.93,148320642.0,5507600
2019-06-11,BRF SA,BRFS3,27.06,152229361.0,5624400
2019-06-12,BRF SA,BRFS3,26.81,122995253.0,4586800
2019-06-13,BRF SA,BRFS3,28.35,336812132.0,11879500
2019-06-14,BRF SA,BRFS3,28.92,364034862.0,12584100
2019-06-17,BRF SA,BRFS3,28.75,238545962.0,8296200
2019-06-18,BRF SA,BRFS3,28.4,128053469.0,4507500
2019-06-19,BRF SA,BRFS3,28.27,167660721.0,5928900
2019-06-21,BRF SA,BRFS3,28.48,143095508.0,5023900
2019-06-24,BRF SA,BRFS3,29.05,133033870.0,4578400
2019-06-25,BRF SA,BRFS3,28.85,136744115.0,4739300
2019-06-26,BRF SA,BRFS3,28.6,83809476.0,2930300
2019-06-27,BRF SA,BRFS3,28.71,107423903.0,3741100
2019-06-28,BRF SA,BRFS3,29.41,218068694.0,7414400
2019-07-01,BRF SA,BRFS3,31.29,508077543.0,16233900
2019-07-02,BRF SA,BRFS3,32.42,373453581.0,11516300
2019-07-03,BRF SA,BRFS3,33.52,288012881.0,8590300
2019-07-04,BRF SA,BRFS3,34.27,178860910.0,5218800
2019-07-05,BRF SA,BRFS3,34.0,208224403.0,6122800
2019-07-08,BRF SA,BRFS3,34.1,142416363.0,4176100
2019-07-10,BRF SA,BRFS3,34.77,289633974.0,8329300
