Data,Açao,Símbolo,Preço,Volume,Quantidade Total
2019-01-02,COSAN,CSAN3,35.32,64965051.0,1839000
2019-01-03,COSAN,CSAN3,36.03,77820734.0,2159300
2019-01-04,COSAN,CSAN3,35.76,95022242.0,2657200
2019-01-07,COSAN,CSAN3,35.66,52190173.0,1463500
2019-01-08,COSAN,CSAN3,35.54,39030997.0,1098100
2019-01-09,COSAN,CSAN3,37.85,132397121.0,3497800
2019-01-10,COSAN,CSAN3,39.66,116169277.0,2929100
2019-01-11,COSAN,CSAN3,38.95,50634078.0,1299700
2019-01-14,COSAN,CSAN3,39.13,46848328.0,1197100
2019-01-15,COSAN,CSAN3,39.39,55563015.0,1410500
2019-01-16,COSAN,CSAN3,40.97,138885152.0,3389100
2019-01-17,COSAN,CSAN3,42.13,117713547.0,2794000
2019-01-18,COSAN,CSAN3,41.89,65214316.0,1556600
2019-01-21,COSAN,CSAN3,41.03,51394241.0,1252500
2019-01-22,COSAN,CSAN3,40.55,68808987.0,1696500
2019-01-23,COSAN,CSAN3,41.63,63051901.0,1514500
2019-01-24,COSAN,CSAN3,42.59,72168395.0,1694300
2019-01-28,COSAN,CSAN3,43.16,58682117.0,1359400
2019-01-29,COSAN,CSAN3,43.78,52475950.0,1198400
2019-01-30,COSAN,CSAN3,44.68,68526071.0,1533700
2019-01-31,COSAN,CSAN3,44.58,69100845.0,1549900
2019-02-01,COSAN,CSAN3,44.08,58130110.0,1318500
2019-02-04,COSAN,CSAN3,44.76,64840308.0,1448600
2019-02-05,COSAN,CSAN3,45.02,54119021.0,1202100
2019-02-06,COSAN,CSAN3,43.72,52623896.0,1203600
2019-02-07,COSAN,CSAN3,43.34,54446970.0,1256100
2019-02-08,COSAN,CSAN3,42.92,33828777.0,788000
2019-02-11,COSAN,CSAN3,42.85,31446432.0,733800
2019-02-12,COSAN,CSAN3,42.54,49976875.0,1174600
2019-02-13,COSAN,CSAN3,42.74,61405468.0,1436400
2019-02-14,COSAN,CSAN3,42.54,56590282.0,1330000
2019-02-15,COSAN,CSAN3,42.84,70247163.0,1639400
2019-02-18,COSAN,CSAN3,42.42,54620469.0,1287600
2019-02-19,COSAN,CSAN3,43.06,80921591.0,1878900
2019-02-20,COSAN,CSAN3,44.58,108751431.0,2439300
2019-02-21,COSAN,CSAN3,43.95,59985454.0,1364800
2019-02-22,COSAN,CSAN3,44.8,63214399.0,1410900
2019-02-25,COSAN,CSAN3,43.97,56908749.0,1294000
2019-02-26,COSAN,CSAN3,44.77,87041866.0,1943900
2019-02-27,COSAN,CSAN3,45.03,47638073.0,1057900
2019-02-28,COSAN,CSAN3,43.75,51760643.0,1182900
2019-03-01,COSAN,CSAN3,43.1,58625017.0,1359900
2019-03-06,COSAN,CSAN3,41.64,60524637.0,1453200
2019-03-07,COSAN,CSAN3,41.51,48933649.0,1178700
2019-03-08,COSAN,CSAN3,41.6,45977366.0,1105200
2019-03-11,COSAN,CSAN3,43.11,60585244.0,1405300
2019-03-12,COSAN,CSAN3,43.64,46790005.0,1072000
2019-03-13,COSAN,CSAN3,43.91,49286547.0,1122300
2019-03-14,COSAN,CSAN3,43.68,36183562.0,828200
2019-03-15,COSAN,CSAN3,44.13,46933965.0,1063400
2019-03-18,COSAN,CSAN3,45.22,83118585.0,1837700
2019-03-19,COSAN,CSAN3,45.93,142138975.0,3094500
2019-03-20,COSAN,CSAN3,46.5,113953039.0,2450300
2019-03-21,COSAN,CSAN3,46.13,123845210.0,2684300
2019-03-22,COSAN,CSAN3,45.17,87469143.0,1936100
2019-03-25,COSAN,CSAN3,44.13,78214773.0,1772100
2019-03-26,COSAN,CSAN3,43.53,53668416.0,1232700
2019-03-27,COSAN,CSAN3,42.6,70378938.0,1651800
2019-03-28,COSAN,CSAN3,42.15,95909614.0,2275400
2019-03-29,COSAN,CSAN3,42.64,81860989.0,1919800
2019-04-01,COSAN,CSAN3,43.65,73819443.0,1690800
2019-04-02,COSAN,CSAN3,43.18,41829032.0,968600
2019-04-03,COSAN,CSAN3,43.76,99993945.0,2285000
2019-04-04,COSAN,CSAN3,44.06,56208204.0,1275500
2019-04-05,COSAN,CSAN3,45.52,122544990.0,2692100
2019-04-08,COSAN,CSAN3,46.49,293355271.0,6309700
2019-04-09,COSAN,CSAN3,45.7,82007144.0,1794200
2019-04-10,COSAN,CSAN3,45.98,117218192.0,2549200
2019-04-11,COSAN,CSAN3,45.63,60334701.0,1322100
2019-04-12,COSAN,CSAN3,44.45,43153443.0,970800
2019-04-15,COSAN,CSAN3,45.13,129277288.0,2864000
2019-04-16,COSAN,CSAN3,46.0,83436505.0,1813700
2019-04-17,COSAN,CSAN3,45.02,109014497.0,2421000
2019-04-18,COSAN,CSAN3,46.02,67925079.0,1475700
2019-04-22,COSAN,CSAN3,46.43,40954204.0,881900
2019-04-23,COSAN,CSAN3,47.74,92424815.0,1935600
2019-04-24,COSAN,CSAN3,46.48,69899503.0,1503600
2019-04-25,COSAN,CSAN3,45.99,65443617.0,1422800
2019-04-26,COSAN,CSAN3,45.85,36664306.0,799500
2019-04-29,COSAN,CSAN3,46.18,47814520.0,1035300
2019-04-30,COSAN,CSAN3,46.71,70321600.0,1505200
2019-05-02,COSAN,CSAN3,46.6,65088740.0,1396500
2019-05-03,COSAN,CSAN3,45.48,58952104.0,1296100
2019-05-06,COSAN,CSAN3,44.72,57953423.0,1295700
2019-05-07,COSAN,CSAN3,44.2,72555851.0,1641200
2019-05-08,COSAN,CSAN3,45.18,82140167.0,1818000
2019-05-09,COSAN,CSAN3,44.52,60590050.0,1360900
2019-05-10,COSAN,CSAN3,44.58,79404619.0,1781100
2019-05-13,COSAN,CSAN3,44.3,59814839.0,1350100
2019-05-14,COSAN,CSAN3,44.13,67095384.0,1520300
2019-05-15,COSAN,CSAN3,43.54,100612308.0,2310400
2019-05-16,COSAN,CSAN3,43.7,125381039.0,2868500
2019-05-17,COSAN,CSAN3,42.84,97684673.0,2280000
2019-05-20,COSAN,CSAN3,43.48,104433871.0,2401400
2019-05-21,COSAN,CSAN3,44.95,82464109.0,1834200
2019-05-22,COSAN,CSAN3,45.62,80367078.0,1761600
2019-05-23,COSAN,CSAN3,45.61,78213546.0,1714700
2019-05-24,COSAN,CSAN3,45.36,73829134.0,1627500
2019-05-27,COSAN,CSAN3,45.06,35716170.0,792600
2019-05-28,COSAN,CSAN3,45.86,123046483.0,2682600
2019-05-29,COSAN,CSAN3,46.17,56306894.0,1219400
2019-05-30,COSAN,CSAN3,47.2,89737108.0,1901000
2019-05-31,COSAN,CSAN3,47.06,89244418.0,1896100
2019-06-03,COSAN,CSAN3,47.04,52403170.0,1113900
2019-06-04,COSAN,CSAN3,47.84,70814688.0,1480000
2019-06-05,COSAN,CSAN3,47.25,78488200.0,1660800
2019-06-06,COSAN,CSAN3,46.93,52285482.0,1113900
2019-06-07,COSAN,CSAN3,47.8,84696210.0,1771700
2019-06-10,COSAN,CSAN3,47.15,50199636.0,1064500
2019-06-11,COSAN,CSAN3,48.29,71807206.0,1486900
2019-06-12,COSAN,CSAN3,48.38,51537524.0,1065100
2019-06-13,COSAN,CSAN3,48.48,48689448.0,1004200
2019-06-14,COSAN,CSAN3,47.69,68590435.0,1438000
2019-06-17,COSAN,CSAN3,46.74,72640464.0,1554000
2019-06-18,COSAN,CSAN3,46.38,74061241.0,1596700
2019-06-19,COSAN,CSAN3,46.46,46111284.0,992400
2019-06-21,COSAN,CSAN3,46.51,89514619.0,1924500
2019-06-24,COSAN,CSAN3,46.35,59402422.0,1281600
2019-06-25,COSAN,CSAN3,45.89,70871405.0,1544100
2019-06-26,COSAN,CSAN3,46.14,53156435.0,1152000
2019-06-27,COSAN,CSAN3,45.8,56121658.0,1225300
2019-06-28,COSAN,CSAN3,46.03,118254324.0,2568700
2019-07-01,COSAN,CSAN3,47.1,90613552.0,1923500
2019-07-02,COSAN,CSAN3,47.3,75376094.0,1593500
2019-07-03,COSAN,CSAN3,46.7,89920261.0,1925300
2019-07-04,COSAN,CSAN3,48.48,55310442.0,1140700
2019-07-05,COSAN,CSAN3,48.62,68879656.0,1416500
