Data,Açao,Símbolo,Preço,Volume,Quantidade Total
2020-01-02,LINX,LINX3,36.48,34420753.0,943500
2020-01-03,LINX,LINX3,38.01,37437855.0,984800
2020-01-06,LINX,LINX3,36.88,71098177.0,1927600
2020-01-07,LINX,LINX3,35.79,101073181.0,2823800
2020-01-08,LINX,LINX3,34.97,40066774.0,1145500
2020-01-09,LINX,LINX3,34.5,67106509.0,1945000
2020-01-10,LINX,LINX3,34.16,55588131.0,1627200
2020-01-13,LINX,LINX3,35.45,47835694.0,1349300
2020-01-14,LINX,LINX3,35.83,50377987.0,1405700
2020-01-15,LINX,LINX3,37.05,111080437.0,2997900
2020-01-16,LINX,LINX3,37.0,39199249.0,1059200
2020-01-17,LINX,LINX3,37.55,59109481.0,1574100
2020-01-20,LINX,LINX3,37.88,35210088.0,929500
2020-01-21,LINX,LINX3,37.72,79579845.0,2109600
2020-01-22,LINX,LINX3,37.62,44886747.0,1192900
2020-01-23,LINX,LINX3,36.69,63277998.0,1724500
2020-01-24,LINX,LINX3,37.0,37638557.0,1017200
2020-01-27,LINX,LINX3,35.65,40335705.0,1131400
2020-01-28,LINX,LINX3,35.5,57500587.0,1619700
2020-01-29,LINX,LINX3,35.06,44042847.0,1256200
2020-01-30,LINX,LINX3,34.0,67321997.0,1979600
2020-01-31,LINX,LINX3,34.27,54532470.0,1591100
2020-02-03,LINX,LINX3,34.42,32440870.0,942400
2020-02-04,LINX,LINX3,35.23,35820616.0,1016700
2020-02-05,LINX,LINX3,35.42,39605521.0,1118100
2020-02-06,LINX,LINX3,35.33,29496509.0,834700
2020-02-07,LINX,LINX3,34.06,34909803.0,1024900
2020-02-10,LINX,LINX3,33.38,41245824.0,1235300
2020-02-11,LINX,LINX3,33.61,36169971.0,1076100
2020-02-12,LINX,LINX3,34.38,25224796.0,733600
2020-02-13,LINX,LINX3,35.31,62250183.0,1762800
2020-02-14,LINX,LINX3,34.87,53443067.0,1532200
2020-02-17,LINX,LINX3,34.08,51062071.0,1498200
2020-02-18,LINX,LINX3,34.69,64706941.0,1865100
2020-02-19,LINX,LINX3,35.01,41415168.0,1182700
2020-02-20,LINX,LINX3,34.3,36350994.0,1059500
2020-02-21,LINX,LINX3,34.22,27575176.0,805700
2020-02-26,LINX,LINX3,32.09,47689966.0,1485900
2020-02-27,LINX,LINX3,31.08,69734509.0,2243600
2020-02-28,LINX,LINX3,30.23,72477904.0,2396900
2020-03-02,LINX,LINX3,31.98,59471985.0,1859500
2020-03-03,LINX,LINX3,31.64,62625585.0,1978800
2020-03-04,LINX,LINX3,30.51,59877003.0,1962500
2020-03-05,LINX,LINX3,29.11,53368362.0,1833100
2020-03-06,LINX,LINX3,27.77,80498771.0,2898500
2020-03-09,LINX,LINX3,25.81,76135815.0,2949000
2020-03-10,LINX,LINX3,27.51,46115620.0,1676100
2020-03-11,LINX,LINX3,25.5,39792807.0,1560000
2020-03-12,LINX,LINX3,22.33,82766675.0,3705200
2020-03-13,LINX,LINX3,22.89,64467661.0,2815800
2020-03-16,LINX,LINX3,20.9,27530763.0,1317200
2020-03-17,LINX,LINX3,22.55,27029599.0,1198600
2020-03-18,LINX,LINX3,18.59,45603814.0,2452800
2020-03-19,LINX,LINX3,17.46,50854500.0,2912000
2020-03-20,LINX,LINX3,19.97,58703814.0,2938700
2020-03-23,LINX,LINX3,18.48,45933694.0,2485000
2020-03-24,LINX,LINX3,19.29,68416639.0,3545200
2020-03-25,LINX,LINX3,20.65,39238821.0,1899700
2020-03-26,LINX,LINX3,21.63,26101595.0,1206600
2020-03-27,LINX,LINX3,19.65,39558639.0,2012300
2020-03-30,LINX,LINX3,19.6,29562386.0,1508000
2020-03-31,LINX,LINX3,17.41,36514096.0,2096200
