Data,Açao,Símbolo,Preço,Volume,Quantidade Total
2020-01-02,GRUPO NATURA,NTCO3,38.31,402608750.0,10508500
2020-01-03,GRUPO NATURA,NTCO3,40.46,2261291197.0,55883200
2020-01-06,GRUPO NATURA,NTCO3,39.88,2843141374.0,71292300
2020-01-07,GRUPO NATURA,NTCO3,40.15,943114430.0,23487900
2020-01-08,GRUPO NATURA,NTCO3,41.45,630598578.0,15211800
2020-01-09,GRUPO NATURA,NTCO3,41.26,552722617.0,13393700
2020-01-10,GRUPO NATURA,NTCO3,42.9,641964728.0,14962600
2020-01-13,GRUPO NATURA,NTCO3,43.57,501878971.0,11517500
2020-01-14,GRUPO NATURA,NTCO3,43.97,182306930.0,4145300
2020-01-15,GRUPO NATURA,NTCO3,44.34,158259692.0,3568600
2020-01-16,GRUPO NATURA,NTCO3,44.78,230007605.0,5136100
2020-01-17,GRUPO NATURA,NTCO3,45.75,219143093.0,4789700
2020-01-20,GRUPO NATURA,NTCO3,46.08,141136471.0,3062600
2020-01-21,GRUPO NATURA,NTCO3,46.56,289584643.0,6218400
2020-01-22,GRUPO NATURA,NTCO3,47.3,217992819.0,4608300
2020-01-23,GRUPO NATURA,NTCO3,47.95,255251009.0,5322400
2020-01-24,GRUPO NATURA,NTCO3,49.43,188223707.0,3807800
2020-01-27,GRUPO NATURA,NTCO3,47.5,333368594.0,7017800
2020-01-28,GRUPO NATURA,NTCO3,48.6,195774962.0,4028100
2020-01-29,GRUPO NATURA,NTCO3,48.42,290927072.0,6008300
2020-01-30,GRUPO NATURA,NTCO3,47.28,383496842.0,8110500
2020-01-31,GRUPO NATURA,NTCO3,47.99,302027955.0,6292500
2020-02-03,GRUPO NATURA,NTCO3,48.16,193985034.0,4027100
2020-02-04,GRUPO NATURA,NTCO3,48.65,216962487.0,4459600
2020-02-05,GRUPO NATURA,NTCO3,48.51,200138323.0,4125500
2020-02-06,GRUPO NATURA,NTCO3,47.59,207499775.0,4359700
2020-02-07,GRUPO NATURA,NTCO3,45.78,341956565.0,7468200
2020-02-10,GRUPO NATURA,NTCO3,44.63,384867997.0,8622800
2020-02-11,GRUPO NATURA,NTCO3,46.99,288827673.0,6146500
2020-02-12,GRUPO NATURA,NTCO3,49.1,357552797.0,7281900
2020-02-13,GRUPO NATURA,NTCO3,48.7,123986486.0,2545800
2020-02-14,GRUPO NATURA,NTCO3,49.74,225461730.0,4532700
2020-02-17,GRUPO NATURA,NTCO3,50.23,132147691.0,2630700
2020-02-18,GRUPO NATURA,NTCO3,49.78,210611380.0,4230100
2020-02-19,GRUPO NATURA,NTCO3,49.86,190249361.0,3815300
2020-02-20,GRUPO NATURA,NTCO3,49.98,229575776.0,4592900
2020-02-21,GRUPO NATURA,NTCO3,48.89,271101847.0,5545100
2020-02-26,GRUPO NATURA,NTCO3,46.16,432310123.0,9364300
2020-02-27,GRUPO NATURA,NTCO3,45.73,425071072.0,9293400
2020-02-28,GRUPO NATURA,NTCO3,44.21,550146581.0,12442300
2020-03-02,GRUPO NATURA,NTCO3,44.88,274100949.0,6106400
2020-03-03,GRUPO NATURA,NTCO3,44.91,792402782.0,17641900
2020-03-04,GRUPO NATURA,NTCO3,44.06,395230420.0,8968600
2020-03-05,GRUPO NATURA,NTCO3,42.51,356774595.0,8391000
2020-03-06,GRUPO NATURA,NTCO3,39.83,622520878.0,15627300
2020-03-09,GRUPO NATURA,NTCO3,36.84,587428804.0,15943800
2020-03-10,GRUPO NATURA,NTCO3,37.3,438985703.0,11768200
2020-03-11,GRUPO NATURA,NTCO3,35.17,532648036.0,15143100
