Pesquisa Mensal de Comércio,Janeiro_MA,Janeiro_AA,Fevereiro_MA,Fevereiro_AA,Março_MA,Março_AA,Abril_MA,Abril_AA,Maio_MA,Maio_AA,Junho_MA,Junho_AA,Julho_MA,Julho_AA,Agosto_MA,Agosto_AA,Setembro_MA,Setembro_AA,Outubro_MA,Outubro_AA,Novembro_MA,Novembro_AA,Dezembro_MA,Dezembro_AA
1. Combustíveis e lubrificantes,-2.2,2.4,-1.5,2.4,1.8,-1.5,1.3,1.5,3.2,6.5,-3.6,-2.2,-1.4,1.5,-4.5,-4.4,0.6,-5.5,2.1,-3.5,-0.4,-2.6,3.8,3.9
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",0.9,6.5,0.9,7.4,0.5,1.5,-1.8,9.8,1.2,5.7,0.5,4.6,0.9,6.1,0.9,6.3,0.1,3.2,0.3,5.2,1,5.9,0.3,3.8
2.1. Hipermercados e supermercados,0.9,6.8,0.8,7.6,0.5,1.8,-1.8,10.4,1.4,5.8,0.5,4.9,0.9,6.2,1.1,6.5,0.4,3.2,0,5.1,1.1,5.6,0.5,3.6
"3. Tecidos, vestuário e calçados",0,-0.6,4.2,11.5,-1.8,-5,-5.9,-2.9,1.6,-0.7,1.8,-0.4,1,7.5,-2.4,-2.3,3.4,-0.6,0.4,4,0.2,3.9,-1.6,0.6
4. Móveis e eletrodomésticos,0.8,1.3,-0.1,7.1,0.1,-0.8,1.7,4.1,0.4,10.5,-0.8,-2.7,1.2,11.8,-1,2.9,4.6,10.9,0.2,9.7,0.6,5.9,3.1,17.6
4.1. Móveis,-,2.8,-,10.6,-,0.4,-,8.5,-,19.4,-,1.6,-,12.5,-,6.6,-,11.2,-,7,-,7.9,-,13.6
4.2. Eletrodomésticos,-,0.6,-,5.6,-,-1.3,-,2.6,-,7.1,-,-4.5,-,11.2,-,1.4,-,10.9,-,11.1,-,5.2,-,19.6
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",-0.2,7.7,0.4,10.9,1.8,4.5,-0.5,5.6,0.8,9.9,1.1,7.3,0.6,10.8,-0.1,6.9,1,8.7,1.5,9.3,4.4,12.3,-1.6,10.4
"6. Livros, jornais, revistas e papelaria",-1.3,-24.4,3,-20.5,-14.8,-33.4,12.2,-21.5,0,-12.4,-1.5,-22.1,2.1,-13.5,0.4,-11.9,-0.6,-11.8,-0.5,-9.6,-6,-10.8,13,6.2
"7. Equipamentos e materiais para escritório, informática e comunicação",7.2,2.9,-3,5.3,3.2,2.1,-9.9,-8.1,2,7.6,-4.2,-7.1,-1.7,-1,4,-3,-2.8,-0.4,5.6,4.3,2.8,7.4,-7.6,0.7
8. Outros artigos de uso pessoal e doméstico,8.3,7.1,0.7,11.9,0.6,-1.8,0.7,15.3,-1.2,4.2,-0.7,0.9,3.3,9.6,0,6.2,1.6,10,1,9.8,1,3.7,-0.2,15.4
Volume de vendas do comércio varejista ampliado (6),1.4,5.8,-0.5,10.4,1.6,0.3,-0.1,7.4,0.9,10,0.2,3.8,0.3,9.5,0.3,3.7,0.7,5.6,1.1,6.6,-0.3,5.5,0,7.2
"9. Veículos, motocicletas, partes e peças",6.5,9.5,-2,20.1,4.8,-0.4,1.1,7.9,-0.7,23.2,1.2,10.7,-0.5,17.8,-0.7,3.9,0.5,11.4,2.9,10.2,-3,7.2,-2.3,9.8
10. Material de construção,0.2,5.9,0,13.8,2.6,3.4,2.2,8.6,-1.6,16.9,-0.9,0.6,1,11.9,-0.5,2.1,1.4,8.9,2.3,9.4,0.2,7,-1,7.4
