Pesquisa Mensal de Comércio,Janeiro_MA,Janeiro_AA,Fevereiro_MA,Fevereiro_AA,Março_MA,Março_AA
1. Combustíveis e lubrificantes,0.5,6.1,-1.2,8.8,-14.3,-8.5
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",-2.3,3,2,9.2,15.5,16
2.1. Hipermercados e supermercados,-2.2,2.8,2.2,9.4,16.6,17.1
"3. Tecidos, vestuário e calçados",1.5,5.6,1.2,1.8,-42.3,-39.2
4. Móveis e eletrodomésticos,-2.1,9.7,1.2,9.6,-27.1,-15
4.1. Móveis,-,8.9,-,6.6,-,-12.5
4.2. Eletrodomésticos,-,10,-,9.4,-,-16
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",0.1,10.4,1.4,11.5,1.4,16
"6. Livros, jornais, revistas e papelaria",-0.7,9.1,-7.1,-3.4,-39.2,-29.7
"7. Equipamentos e materiais para escritório, informática e comunicação",-2.6,-8.6,-1.6,-16.4,-13.5,-24.5
8. Outros artigos de uso pessoal e doméstico,0.2,9.7,2.9,10.9,-27.9,-16
Volume de vendas do comércio varejista ampliado (6),0.8,6.6,0.9,6.5,-12,-2.8
"9. Veículos, motocicletas, partes e peças",8.3,10.5,-0.2,1.1,-34.9,-20.3
10. Material de construção,0.4,5.9,0.3,0.7,-17.6,-5.9
