Data,Açao,Símbolo,Preço,Volume,Quantidade Total
2020-01-02,AREZZO CO,ARZZ3,63.56,33646381.0,529300
2020-01-03,AREZZO CO,ARZZ3,63.16,44743433.0,708400
2020-01-06,AREZZO CO,ARZZ3,62.74,23622025.0,376500
2020-01-07,AREZZO CO,ARZZ3,62.78,40624701.0,647000
2020-01-08,AREZZO CO,ARZZ3,62.34,29249958.0,469200
2020-01-09,AREZZO CO,ARZZ3,61.27,44466401.0,725700
2020-01-10,AREZZO CO,ARZZ3,61.14,38149374.0,623900
2020-01-13,AREZZO CO,ARZZ3,62.89,60023712.0,954300
2020-01-14,AREZZO CO,ARZZ3,63.28,60071610.0,949200
2020-01-15,AREZZO CO,ARZZ3,62.37,46423907.0,744300
2020-01-16,AREZZO CO,ARZZ3,62.78,23740574.0,378100
2020-01-17,AREZZO CO,ARZZ3,62.7,31193954.0,497500
2020-01-20,AREZZO CO,ARZZ3,62.82,19106418.0,304100
2020-01-21,AREZZO CO,ARZZ3,65.03,116201334.0,1786700
2020-01-22,AREZZO CO,ARZZ3,65.05,51689475.0,794600
2020-01-23,AREZZO CO,ARZZ3,62.67,81935801.0,1307300
2020-01-24,AREZZO CO,ARZZ3,63.86,25764984.0,403400
2020-01-27,AREZZO CO,ARZZ3,62.57,30098414.0,481000
2020-01-28,AREZZO CO,ARZZ3,63.13,27572002.0,436700
2020-01-29,AREZZO CO,ARZZ3,64.21,23951156.0,373000
2020-01-30,AREZZO CO,ARZZ3,61.92,52500763.0,847800
2020-01-31,AREZZO CO,ARZZ3,60.98,58541927.0,959900
2020-02-03,AREZZO CO,ARZZ3,61.65,19188584.0,311200
2020-02-04,AREZZO CO,ARZZ3,62.06,26034462.0,419500
2020-02-05,AREZZO CO,ARZZ3,62.3,23196936.0,372300
2020-02-06,AREZZO CO,ARZZ3,61.61,26019085.0,422300
2020-02-07,AREZZO CO,ARZZ3,60.41,21747605.0,360000
2020-02-10,AREZZO CO,ARZZ3,58.79,31438792.0,534700
2020-02-11,AREZZO CO,ARZZ3,59.2,25189828.0,425500
2020-02-12,AREZZO CO,ARZZ3,60.54,31094564.0,513600
2020-02-13,AREZZO CO,ARZZ3,62.49,39258870.0,628200
2020-02-14,AREZZO CO,ARZZ3,62.79,34259719.0,545600
2020-02-17,AREZZO CO,ARZZ3,63.14,20394826.0,323000
2020-02-18,AREZZO CO,ARZZ3,64.07,23315342.0,363900
2020-02-19,AREZZO CO,ARZZ3,65.41,30376823.0,464400
2020-02-20,AREZZO CO,ARZZ3,65.15,47032309.0,721800
2020-02-21,AREZZO CO,ARZZ3,64.39,23890491.0,371000
2020-02-26,AREZZO CO,ARZZ3,61.59,37489373.0,608600
2020-02-27,AREZZO CO,ARZZ3,59.73,56521581.0,946200
2020-02-28,AREZZO CO,ARZZ3,59.58,51525464.0,864800
2020-03-02,AREZZO CO,ARZZ3,60.2,56168013.0,932900
2020-03-03,AREZZO CO,ARZZ3,59.17,55314665.0,934700
2020-03-04,AREZZO CO,ARZZ3,57.92,47035424.0,812000
2020-03-05,AREZZO CO,ARZZ3,58.33,69654536.0,1194000
2020-03-06,AREZZO CO,ARZZ3,55.82,44105446.0,790100
2020-03-09,AREZZO CO,ARZZ3,53.28,54183078.0,1016800
2020-03-10,AREZZO CO,ARZZ3,54.79,40842616.0,745400
2020-03-11,AREZZO CO,ARZZ3,53.18,33933371.0,638000
2020-03-12,AREZZO CO,ARZZ3,46.54,32917883.0,707200
2020-03-13,AREZZO CO,ARZZ3,47.17,61401026.0,1301600
2020-03-16,AREZZO CO,ARZZ3,43.29,32207074.0,743900
2020-03-17,AREZZO CO,ARZZ3,42.07,62323558.0,1481100
2020-03-18,AREZZO CO,ARZZ3,36.15,30431677.0,841600
2020-03-19,AREZZO CO,ARZZ3,35.24,17634272.0,500300
2020-03-20,AREZZO CO,ARZZ3,38.0,47330024.0,1245400
2020-03-23,AREZZO CO,ARZZ3,33.84,27025720.0,798500
2020-03-24,AREZZO CO,ARZZ3,35.73,35723599.0,999800
2020-03-25,AREZZO CO,ARZZ3,39.29,26909509.0,684800
2020-03-26,AREZZO CO,ARZZ3,41.99,51546691.0,1227400
2020-03-27,AREZZO CO,ARZZ3,39.92,10735484.0,268900
2020-03-30,AREZZO CO,ARZZ3,37.99,12336626.0,324700
2020-03-31,AREZZO CO,ARZZ3,37.33,15687214.0,420200
2020-04-01,AREZZO CO,ARZZ3,35.28,10966853.0,310800
2020-04-02,AREZZO CO,ARZZ3,35.6,16483691.0,462900
2020-04-03,AREZZO CO,ARZZ3,33.68,14493436.0,430300
2020-04-06,AREZZO CO,ARZZ3,36.9,20533498.0,556400
2020-04-07,AREZZO CO,ARZZ3,38.84,18934257.0,487400
2020-04-08,AREZZO CO,ARZZ3,38.36,21138719.0,551000
2020-04-09,AREZZO CO,ARZZ3,37.93,22721948.0,598900
2020-04-13,AREZZO CO,ARZZ3,36.53,20980104.0,574200
2020-04-14,AREZZO CO,ARZZ3,38.5,30756631.0,798700
2020-04-15,AREZZO CO,ARZZ3,38.37,29117776.0,758700
2020-04-16,AREZZO CO,ARZZ3,38.8,33459900.0,862200
2020-04-17,AREZZO CO,ARZZ3,41.54,35168827.0,846600
2020-04-20,AREZZO CO,ARZZ3,43.94,36781297.0,836900
2020-04-22,AREZZO CO,ARZZ3,46.52,52363329.0,1125400
2020-04-23,AREZZO CO,ARZZ3,45.54,46919530.0,1030100
2020-04-24,AREZZO CO,ARZZ3,42.01,46425014.0,1105000
2020-04-27,AREZZO CO,ARZZ3,42.98,22518435.0,523900
2020-04-28,AREZZO CO,ARZZ3,44.3,25828849.0,583000
2020-04-29,AREZZO CO,ARZZ3,46.04,10774935.0,234000
2020-04-30,AREZZO CO,ARZZ3,43.33,24585416.0,567300
2020-05-04,AREZZO CO,ARZZ3,40.78,11059956.0,271200
2020-05-05,AREZZO CO,ARZZ3,41.93,7145608.0,170400
2020-05-06,AREZZO CO,ARZZ3,42.65,26408729.0,619100
2020-05-07,AREZZO CO,ARZZ3,41.61,12893190.0,309800
2020-05-08,AREZZO CO,ARZZ3,40.68,18942499.0,465600
2020-05-11,AREZZO CO,ARZZ3,42.66,29263939.0,685900
2020-05-12,AREZZO CO,ARZZ3,41.12,43243826.0,1051600
2020-05-13,AREZZO CO,ARZZ3,39.74,28945484.0,728300
2020-05-14,AREZZO CO,ARZZ3,37.99,34103790.0,897700
2020-05-15,AREZZO CO,ARZZ3,38.78,25634845.0,661000
2020-01-02,B2W DIGITAL,BTOW3,64.48,163121521.0,2529500
2020-01-03,B2W DIGITAL,BTOW3,64.72,171807460.0,2654600
2020-01-06,B2W DIGITAL,BTOW3,63.79,107819619.0,1690200
2020-01-07,B2W DIGITAL,BTOW3,63.92,88445986.0,1383500
2020-01-08,B2W DIGITAL,BTOW3,64.07,84307345.0,1315700
2020-01-09,B2W DIGITAL,BTOW3,66.89,135936219.0,2032200
2020-01-10,B2W DIGITAL,BTOW3,67.09,91576945.0,1364900
2020-01-13,B2W DIGITAL,BTOW3,68.12,92154442.0,1352800
2020-01-14,B2W DIGITAL,BTOW3,69.31,201383374.0,2905500
2020-01-15,B2W DIGITAL,BTOW3,69.04,139598367.0,2021900
2020-01-16,B2W DIGITAL,BTOW3,70.3,80177386.0,1140400
2020-01-17,B2W DIGITAL,BTOW3,71.29,62007131.0,869700
2020-01-20,B2W DIGITAL,BTOW3,74.07,132297535.0,1785900
2020-01-21,B2W DIGITAL,BTOW3,76.8,288798445.0,3760300
2020-01-22,B2W DIGITAL,BTOW3,76.6,136746274.0,1785000
2020-01-23,B2W DIGITAL,BTOW3,75.14,129682268.0,1725800
2020-01-24,B2W DIGITAL,BTOW3,74.37,111068550.0,1493300
2020-01-27,B2W DIGITAL,BTOW3,71.77,110456223.0,1538900
2020-01-28,B2W DIGITAL,BTOW3,73.64,156886645.0,2130300
2020-01-29,B2W DIGITAL,BTOW3,75.99,120991511.0,1592100
2020-01-30,B2W DIGITAL,BTOW3,72.55,238936341.0,3293400
2020-01-31,B2W DIGITAL,BTOW3,72.01,231638083.0,3216700
2020-02-03,B2W DIGITAL,BTOW3,72.18,106583006.0,1476500
