Pesquisa Mensal de Comércio,Janeiro_MA,Janeiro_AA,Fevereiro_MA,Fevereiro_AA,Março_MA,Março_AA,Abril_MA,Abril_AA,Maio_MA,Maio_AA,Junho_MA,Junho_AA,Julho_MA,Julho_AA,Agosto_MA,Agosto_AA,Setembro_MA,Setembro_AA,Outubro_MA,Outubro_AA,Novembro_MA,Novembro_AA,Dezembro_MA,Dezembro_AA
1. Combustíveis e lubrificantes,0.5,1.4,-0.9,3,-0.8,-4.3,0.3,-3.6,-0.8,1.6,-1.4,0.5,0.5,5,-3.3,-2.9,1.2,-0.5,1.7,2.9,-0.3,0.7,-0.4,-1
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",0.6,2.2,-0.7,1.5,-0.4,-5.7,-1.8,1.6,1.4,-1.2,0,0.7,1.3,1.9,0.6,2.4,0.2,0.1,-0.1,2.6,0,2.4,-1.2,-2.9
2.1. Hipermercados e supermercados,1.1,2.7,-0.6,1.9,-0.4,-5.2,-0.9,2.3,0.6,-1,-0.1,1,1.1,2.3,0.6,2.8,0.1,0.3,-0.4,2.7,0.1,2,-1.3,-3
"3. Tecidos, vestuário e calçados",0.1,-1.2,4.4,10.7,-2.5,-5.7,-5.5,-3.2,1.7,-0.6,1.5,-1.1,1.3,6.6,-2.5,-3.4,3.3,-1.8,0.2,2.5,-0.2,1.5,-1,-0.1
4. Móveis e eletrodomésticos,0.4,-2.8,-0.3,2.7,-0.1,-4.8,1.7,-0.1,0.6,5.8,-1,-6.5,1.6,7.4,-1.5,-1.3,5.2,8.2,0.9,8,0.5,4.8,3.4,18.6
4.1. Móveis,-,-0.8,-,6.3,-,-3.6,-,4.6,-,15.7,-,-1.2,-,9.8,-,3.7,-,8.4,-,5.1,-,7.4,-,14.2
4.2. Eletrodomésticos,-,-3.3,-,1.3,-,-5.4,-,-1.7,-,2,-,-8.6,-,6.4,-,-3.2,-,8.1,-,9.3,-,4.1,-,20.6
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",-0.5,7.2,0.1,10.1,1.4,3.8,-0.7,3.8,0.9,7.9,0.3,5,0.7,8.5,-0.3,5.2,0.5,6.7,1.2,7.3,4.1,9.5,-2,7.1
"6. Livros, jornais, revistas e papelaria",0.2,-27.3,0.2,-24.3,-4.1,-36.7,4.3,-25.6,0.4,-16.6,-0.8,-26.2,1.8,-18.5,0.2,-17.1,0.2,-15.7,-1.1,-13.3,-4.7,-14.7,11.6,1.5
"7. Equipamentos e materiais para escritório, informática e comunicação",8.2,1.6,-3,2.9,2.9,0.6,-8,-10.5,2.2,3.1,-2.4,-8.8,-1.6,-2.2,3.8,-3.5,-2,-1.3,5.3,4.9,2.8,8,-10.9,1.4
8. Outros artigos de uso pessoal e doméstico,7.2,6.4,1,10.7,0.7,-3.3,-0.4,13.4,-1.4,2.3,0.1,-0.8,2.2,8.1,0.2,4.7,1.8,8.5,0.3,8.3,1,1.4,-0.1,12.9
Volume de vendas do comércio varejista ampliado (6),1,3.5,-0.8,7.7,1.1,-3.4,0,3.1,0.2,6.4,0,1.7,0.7,7.6,0,1.4,0.9,4.4,0.8,5.6,-0.5,3.8,-0.8,4.1
"9. Veículos, motocicletas, partes e peças",5.7,8.8,-0.9,19.4,4.5,-1.2,0.2,6.9,-2.1,22.3,3.6,10,-0.9,17.1,-1.7,2.9,1.2,10.5,2.4,9.2,-1,6.7,-4,9.3
10. Material de construção,0.1,2.2,-0.3,9.3,2.1,-0.4,1.4,4.1,-1.8,11.6,-1.2,-3.6,1.1,7.9,-0.8,-1.6,1.5,5.7,2.1,6.5,0.1,4.4,-1.1,5.1
