Pesquisa Mensal de Comércio,Janeiro_MA,Janeiro_AA,Fevereiro_MA,Fevereiro_AA,Março_MA,Março_AA
1. Combustíveis e lubrificantes,-1.4,-2.3,-0.6,0.2,-12.5,-11.2
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",-1.2,-2.8,1.5,4.1,14.6,11.1
2.1. Hipermercados e supermercados,-0.9,-3,0.7,4.2,16.3,12
"3. Tecidos, vestuário e calçados",1.3,4.2,1.6,1,-42.2,-39.6
4. Móveis e eletrodomésticos,-1.9,11,1.6,11.7,-25.9,-12.1
4.1. Móveis,-,9.8,-,8.2,-,-10.4
4.2. Eletrodomésticos,-,11.8,-,12,-,-12.4
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",0.1,7.1,0.6,7.9,1.3,12.1
"6. Livros, jornais, revistas e papelaria",0.2,3.7,-3.8,-7.8,-36.1,-32.9
"7. Equipamentos e materiais para escritório, informática e comunicação",-1.6,-6.7,-1.1,-13.3,-14.2,-23.2
8. Outros artigos de uso pessoal e doméstico,-0.2,7.6,1.5,8.7,-27.4,-17.9
Volume de vendas do comércio varejista ampliado (6),0.6,3.5,0.7,3.3,-13.7,-6.3
"9. Veículos, motocicletas, partes e peças",8.5,10.2,0.9,1.1,-36.4,-20.8
10. Material de construção,-0.1,2.5,0.1,-2,-17.1,-7.6
