,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2852
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,852
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1459
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7192
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,18230
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13067
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4318
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2631
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2418
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3853
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5770
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,816
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1408
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,782
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1522
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1481
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,370
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,20627
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4184
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,783
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4139
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,800
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3992
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4919
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6822
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1066
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2267
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2048
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1401
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1116
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5005
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,917
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3233
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3178
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1262
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6735
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1311
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6070
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,643
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,418
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,855
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,747
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,443
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,664
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,11786
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5257
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9234
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1161
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,884
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3769
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1665
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4425
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,6476
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,573
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3086
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,11484
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,331
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2303
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5797
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4114
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1970
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1107
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3934
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1400
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1695
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,10279
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,659
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1908
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,5887
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,964
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,640
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,618
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,5961
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,577
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,803
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3946
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,620
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1605
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1411
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1475
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,832
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1203
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,634
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4340
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2549
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2165
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,569
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2352
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3149
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4340
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2224
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10472
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10208
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1250
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5386
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17282
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7242
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1124
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2556
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5635
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5351
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5250
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2940
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4894
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10967
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1227
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,719
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,455
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,671
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3021
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,816
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,4627
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1701
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,3197
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1727
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,419
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1164
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,7717
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,611
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1033
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,8919
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4258
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,691
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1345
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6381
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4159
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2712
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3103
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,563
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4550
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3628
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1232
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1220
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1701
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4103
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4885
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5070
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3407
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3567
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,624
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,9290
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,774
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5228
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,7119
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,481
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,927
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2267
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,3857
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3810
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3526
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4678
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3019
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1022
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,750
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10731
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,5918
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1603
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,595
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,13095
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,11507
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,676
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1350
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,5878
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,640
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1961
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3619
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1064
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,769
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,4941
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,8505
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2020
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,781
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2038
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3921
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1463
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4296
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5082
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6219
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,16058
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,11868
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,11538
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,583
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2636
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3614
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,10698
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1325
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2200
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5217
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1599
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9407
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1147
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9667
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6225
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,12048
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3272
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,957
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,15812
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,650
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1566
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3913
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,4433
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6590
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1507
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1483
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4116
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3620
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,2951
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1310
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2701
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3698
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5247
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2636
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6324
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2688
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6336
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,2647
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3452
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14382
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,934
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3141
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3529
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,15469
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,2924
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3117
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,964
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,710
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,780
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,6864
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,12488
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,4987
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1214
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2702
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6126
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2072
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,830
