,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,4804
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,692
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1778
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6279
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,15435
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13340
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5968
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3175
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3408
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3408
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5503
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,304
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1933
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,304
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1701
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1701
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,71
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,18383
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4882
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,71
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,5503
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,382
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,5580
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4494
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7520
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,692
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2011
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2787
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,925
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,3175
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5736
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,382
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3408
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4184
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1701
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5968
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,925
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5736
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,226
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,71
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,226
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,304
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,-316
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,71
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7520
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,6589
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9460
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1701
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,226
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,5037
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1701
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,6434
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,8063
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,226
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3175
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,8218
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-471
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,4727
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5736
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,5658
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2011
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,382
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3253
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,2011
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1933
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7287
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,-161
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1856
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,7443
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,382
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,537
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,382
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6434
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,71
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,537
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3253
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,226
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1623
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1701
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,2244
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,71
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,770
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,149
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4727
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,4028
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3175
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,692
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3253
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3253
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4727
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3485
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9382
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9382
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1002
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5580
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,16987
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5658
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,847
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,3175
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5580
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6511
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,6201
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3175
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5503
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9538
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,925
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1080
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,149
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,304
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3175
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,304
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,6744
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1701
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,6511
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1778
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,-471
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1623
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6123
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,71
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1468
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9460
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,5736
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,149
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,847
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,5736
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,6744
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,5813
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3253
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,-5
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,6201
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3485
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1002
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1933
